Binary,Flags,N,M,T,Iterations,Section,Cycles,Performance
no_opt,-O3,20,70,2100,50,update_transition,105612069,27360.509337242507
no_opt,-O3,20,70,2100,50,update_emission,323702990,13779.298115225936
no_opt,-O3,20,80,2100,50,baum_welch,654972240,16059.749341437739
no_opt,-O3,20,80,2100,50,forward_vars,73610269,17365.376018392217
no_opt,-O3,20,80,2100,50,backward_vars,71578206,17538.578712073337
no_opt,-O3,20,80,2100,50,update_initial,5138482,163.4724029392338
no_opt,-O3,20,80,2100,50,update_transition,107187172,26958.44984136721
no_opt,-O3,20,80,2100,50,update_emission,371722552,13705.383148235784
no_opt,-O3,20,90,2100,50,baum_welch,707498545,15763.83453905195
no_opt,-O3,20,90,2100,50,forward_vars,73896073,17298.21285631782
no_opt,-O3,20,90,2100,50,backward_vars,71988015,17438.73615628935
no_opt,-O3,20,90,2100,50,update_initial,5146030,163.23262787041662
no_opt,-O3,20,90,2100,50,update_transition,109188484,26464.329333485388
no_opt,-O3,20,90,2100,50,update_emission,421789106,13582.143110163684
no_opt,-O3,20,100,2100,50,baum_welch,765804913,15391.765970558614
no_opt,-O3,20,100,2100,50,forward_vars,72636732,17598.121016788034
no_opt,-O3,20,100,2100,50,backward_vars,71960981,17445.28746766251
no_opt,-O3,20,100,2100,50,update_initial,5218391,160.96915696811527
no_opt,-O3,20,100,2100,50,update_transition,111047386,26021.323905814406
no_opt,-O3,20,100,2100,50,update_emission,479599395,13267.322824708734
